index,word,repair_spelling,variant_index,original_CMU,auto-repair,exclude,corrections_of_excluded,corrected_and_trimmed,corrected_only,CELEX_freq,CELEX_freq_amoung_homographs,length
1,a,,1,AH0,EY1,aa exclude - not independent form,,,EY1,1267035,633518,6
2,a,,2,EY1,EY1,,,EY1,EY1,1267035,633518,9
3,aback,,1,AH0 B AE1 K,AH0 B AE1 K,,,AH0 B AE1 K,AH0 B AE1 K,59,60,10
4,abacus,,1,AE1 B AH0 K AH0 S,AE1 B AH0 K AH0 S,,,AE1 B AH0 K AH0 S,AE1 B AH0 K AH0 S,8,9,10
5,abandon,,1,AH0 B AE1 N D AH0 N,AH0 B AE1 N D AH0 N,,,AH0 B AE1 N D AH0 N,AH0 B AE1 N D AH0 N,1010,1011,5
6,abandoned,,1,AH0 B AE1 N D AH0 N D,AH0 B AE1 N D AH0 N D,aa exclude - inflected,,,AH0 B AE1 N D AH0 N D,25,26,4
7,abandonment,,1,AH0 B AE1 N D AH0 N M AH0 N T,AH0 B AE1 N D AH0 N M AH0 N T,aa exclude - productive affix,,,AH0 B AE1 N D AH0 N M AH0 N T,94,95,3
8,abash,,1,AH0 B AE1 SH,AH0 B AE1 SH,,,AH0 B AE1 SH,AH0 B AE1 SH,15,16,8
9,abate,,1,AH0 B EY1 T,AH0 B EY1 T,,,AH0 B EY1 T,AH0 B EY1 T,42,43,5
10,abatement,,1,AH0 B EY1 T M AH0 N T,AH0 B EY1 T M AH0 N T,aa exclude - productive affix,,,AH0 B EY1 T M AH0 N T,13,14,5
11,abbe,,1,AE1 B IY0,AE1 B IY0,,,AE1 B IY0,AE1 B IY0,14,8,7
12,abbe,,2,AE0 B EY1,AE2 B EY1,,,AE2 B EY1,AE2 B EY1,14,8,7
13,abbey,,1,AE1 B IY0,AE1 B IY0,,,AE1 B IY0,AE1 B IY0,181,182,3
14,abbot,,1,AE1 B AH0 T,AE1 B AH0 T,,,AE1 B AH0 T,AE1 B AH0 T,43,44,3
15,abbreviate,,1,AH0 B R IY1 V IY0 EY2 T,AH0 B R IY1 V IY0 EY2 T,,,AH0 B R IY1 V IY0 EY2 T,AH0 B R IY1 V IY0 EY2 T,35,36,9
16,abbreviation,,1,AH0 B R IY2 V IY0 EY1 SH AH0 N,AH0 B R IY2 V IY0 EY1 SH AH0 N,,,AH0 B R IY2 V IY0 EY1 SH AH0 N,AH0 B R IY2 V IY0 EY1 SH AH0 N,14,15,5
17,abdicate,,1,AE1 B D AH0 K EY2 T,AE1 B D AH0 K EY2 T,,,AE1 B D AH0 K EY2 T,AE1 B D AH0 K EY2 T,40,41,5
18,abdication,,1,AE2 B D IH0 K EY1 SH AH0 N,AE2 B D IH0 K EY1 SH AH0 N,,,AE2 B D IH0 K EY1 SH AH0 N,AE2 B D IH0 K EY1 SH AH0 N,34,35,6
19,abdomen,,1,AE0 B D OW1 M AH0 N,AE2 B D OW1 M AH0 N,,,AE2 B D OW1 M AH0 N,AE2 B D OW1 M AH0 N,114,58,5
20,abdomen,,2,AE1 B D AH0 M AH0 N,AE1 B D AH0 M AH0 N,,,AE1 B D AH0 M AH0 N,AE1 B D AH0 M AH0 N,114,58,13
21,abdominal,,1,AE0 B D AA1 M AH0 N AH0 L,AE2 B D AA1 M AH0 N AH0 L,,,AE2 B D AA1 M AH0 N AH0 L,AE2 B D AA1 M AH0 N AH0 L,126,64,7
22,abdominal,,2,AH0 B D AA1 M AH0 N AH0 L,AH0 B D AA1 M AH0 N AH0 L,,,AH0 B D AA1 M AH0 N AH0 L,AH0 B D AA1 M AH0 N AH0 L,126,64,10
23,abduct,,1,AE0 B D AH1 K T,AE2 B D AH1 K T,,,AE2 B D AH1 K T,AE2 B D AH1 K T,19,20,3
24,abduction,,1,AE0 B D AH1 K SH AH0 N,AE2 B D AH1 K SH AH0 N,,,AE2 B D AH1 K SH AH0 N,AE2 B D AH1 K SH AH0 N,11,6,6
